GEOID,UERPCTCHG,PCIPCTCHG,POVPCTCHG
a,a,a,a
a,a,a,a
a,a,a,a
a,a,a,a
a,a,a,a
a,a,a,a
a,a,a,a
a,a,a,a
a,a,a,a
17031140701,-5,31,0.8
17031140702,-0.5,38.7,-4.2
17031140800,-1.2,35.7,-0.4
17031150200,-1.5,24.6,-9.9
17031150300,-3.5,5.8,-0.1
17031150401,-6,9,-4
17031150402,-10.4,20.1,-6.3
17031150501,-0.3,23.8,5
17031150502,1.2,36.7,-4.7
17031150600,-4.4,-10.6,-0.7
17031150700,3.6,29.3,9.1
17031150800,-3.7,8.8,-9.5
17031151001,3.1,38.9,9
17031151002,-5.9,13.1,-4.9
17031151100,-2.6,9.3,-0.2
17031151200,-2.2,-2.1,3.6
17031160100,-2,-11.1,-0.2
17031160200,-7.4,20.4,-4.5
17031160300,-4.8,28.6,1.6
17031160400,-7.4,9.7,1.9
17031160501,-8.4,21,-8.2
17031160502,-5.9,17.3,1.3
17031160601,-6.2,-5.1,-3.1
17031160602,-4.4,-10.2,-4.3
17031160700,0.4,11.8,3.8
17031160800,-6.4,37.3,-1.4
17031160900,-1.5,16.6,0.2
17031161000,1.2,0.9,2.5
17031161100,-4.9,7.7,-5.9
17031161200,-3,-6.1,7.4
17031161300,0.6,-13.3,-0.1
17031170100,2.3,18.4,10.4
17031170200,-7,6.5,6.9
17031170300,-4.4,-8.2,4.9
17031170400,-1.9,0.4,11.8
17031170500,-0.5,-1.7,2
17031170600,-4.4,-2.9,-1.5
17031170700,-2,-3.2,6.6
17031170800,-5.9,1.5,-5.3
17031170900,-2.6,18.1,6.6
17031171000,3.5,5.7,-2.2
17031171100,-10.9,31.2,1.5
17031180100,-3.3,40.9,5.1
17031190100,-6.4,-7.2,8.9
17031190200,-3.4,21.6,-4.5
17031190300,-0.1,-3.5,0.8
17031190401,-0.4,13.8,2.2
17031190402,1.2,28.7,-3.6
17031190601,-3.5,9.3,-8.9
17031190602,-5.6,24,-4.5
17031190701,3.5,16.7,3.1
17031190702,6.8,-0.9,16.2
17031190800,6.8,0.8,3.3
