GEOID,2016_POP,2010_POP,POPPCTCHG,2016_BLACK,2010_BLACK,BLKPCTCHG,2016_ASIAN,2010_ASIAN,ASNPCTCHG,2016_HISP,2010_HISP,HSPPCTCHG,2016_WHITE,2010_WHITE,WHTPCTCHG,2016_HS,2016_PCTHS,2010_HS,2010_PCTHS,HSPCTCHG,2016_POSTHS,2016_PCTPOSTHS,2010_POSTHS,2010_PCTPOSTHS,PHSPCTCHG,2016_INHU,2016_PCTHMLS,2010_INHU,2010_PCTHMLS,2016_OWNERHU,2010_OWNERHU,2016_RENT,2010_RENT,ORRPCTCHG
b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17031010100,4318,5086,-15.1,1684,2600,-35.2,166,541,-69.3,559,649,-13.9,1737,1158,50,998,23.1,1138,22.4,0.7,2162,50.1,1811,35.6,14.5,4186,3.1,5012,1.5,708,971,3478,4041,18
17031010201,6893,5819,18.5,3248,2817,15.3,174,312,-44.2,1286,1269,1.3,1881,1412,33.2,1980,28.7,1515,26,2.7,2828,41,1893,32.5,8.5,6698,2.8,5819,0,1742,1971,4956,3848,45.7
17031010202,2232,2898,-23,713,1050,-32.1,196,61,221.3,559,659,-15.2,760,969,-21.6,624,28,934,32.2,-4.2,1035,46.4,1105,38.1,8.3,1923,13.8,2426,16.3,449,772,1474,1654,53.2
17031010300,6105,6382,-4.3,1615,1638,-1.4,503,391,28.6,875,1539,-43.1,3044,3023,0.7,1940,31.8,2010,31.5,0.3,3062,50.2,2433,38.1,12.1,5131,16,5691,10.8,1564,2314,3567,3377,56.3
17031010400,5532,4590,20.5,1024,646,58.5,313,395,-20.8,406,646,-37.2,3669,2749,33.5,462,8.4,641,14,-5.6,2334,42.2,1616,35.2,7,4032,27.1,3674,20,950,1234,3082,2440,64.1
