CG_GEOID,GEOID,GENT_IDX,UERPCTCHG,PCIPCTCHG,POVPCTCHG,2016_POP,2010_POP,POPPCTCHG,2016_BLACK,2010_BLACK,BLKPCTCHG,2016_ASIAN,2010_ASIAN,ASNPCTCHG,2016_HISP,2010_HISP,HSPPCTCHG,2016_WHITE,2010_WHITE,WHTPCTCHG,2016_HS,2016_PCTHS,2010_HS,2010_PCTHS,HSPCTCHG,2016_POSTHS,2016_PCTPOSTHS,2010_POSTHS,2010_PCTPOSTHS,PHSPCTCHG,2016_INHU,2016_PCTHMLS,2010_INHU,2010_PCTHMLS,2016_OWNERHU,2010_OWNERHU,2016_RENT,2010_RENT,ORRPCTCHG
CG17031280800,17031280800,0.397625,6.3,-12.9,-9.7,977,340,187.4,883,294,200.3,0,0,UNDEF,25,0,UNDEF,63,46,37,281,28.8,137,40.3,-11.5,358,36.6,207,60.9,-24.3,948,3,340,0,247,42,701,298,-60
CG17031280900,17031280900,0.69125,-10.4,253.2,-34.7,1007,1179,-14.6,857,1179,-27.3,4,0,UNDEF,25,0,UNDEF,107,0,UNDEF,238,23.6,331,28.1,-4.5,312,31,140,11.9,19.1,1007,0,1179,0,197,45,810,1134,-83.7
CG17031281900,17031281900,0.5815,-1.1,5,5.4,5247,3791,38.4,282,441,-36.1,2231,1092,104.3,431,27,1496.3,2166,2093,3.5,184,3.5,161,4.2,-0.7,3855,73.5,1696,44.7,28.8,5222,0.5,3791,0,1157,1260,4065,2531,74.9
CG17031282700,17031282700,0.558125,11.9,20.7,-3.2,2152,2337,-7.9,1092,871,25.4,243,122,99.2,556,962,-42.2,322,381,-15.5,508,23.6,657,28.1,-4.5,806,37.5,640,27.4,10.1,2152,0,2337,0,687,836,1465,1501,18.8
CG17031282800,17031282800,0.469625,1.1,9.5,3.7,1583,1728,-8.4,385,190,102.6,227,286,-20.6,448,394,13.7,468,870,-46.2,250,15.8,169,9.8,6,853,53.9,716,41.4,12.5,1583,0,1728,0,544,740,1039,988,43.1
CG17031283100,17031283100,0.57925,-0.8,5.4,-6.8,2985,2472,20.8,1276,874,46,824,672,22.6,125,146,-14.4,663,733,-9.5,300,10.1,248,10,0.1,1344,45,1063,43,2,2985,0,2472,0,318,265,2667,2207,0.7
CG17031283200,17031283200,0.601625,-8.9,-2.9,5.8,1485,987,50.5,427,282,51.4,222,233,-4.7,100,167,-40.1,676,291,132.3,192,12.9,121,12.3,0.6,738,49.7,433,43.9,5.8,1485,0,987,0,604,532,881,455,70.5
CG17031283800,17031283800,0.54525,-2.6,1.8,5.4,3553,2731,30.1,1610,1627,-1,438,157,179,446,258,72.9,1015,649,56.4,651,18.3,581,21.3,-3,2008,56.5,1007,36.9,19.6,3548,0.1,2731,0,1307,865,2241,1866,-20.5
CG17031290900,17031290900,0.39525,11.3,10.8,-1.1,3867,4173,-7.3,3843,3912,-1.8,13,0,UNDEF,0,114,-100,0,0,UNDEF,1349,34.9,1454,34.8,0.1,947,24.5,866,20.8,3.7,3867,0,4173,0,1119,925,2748,3248,-30.1
CG17031291200,17031291200,0.764875,-8.6,49.7,-19.6,2337,2091,11.8,2222,2052,8.3,0,0,UNDEF,43,0,UNDEF,67,0,UNDEF,607,26,628,30,-4,552,23.6,375,17.9,5.7,2335,0.1,1951,6.7,547,451,1788,1500,-1.7
CG17031291600,17031291600,0.6865,-6.6,68.7,-39.8,1061,1242,-14.6,161,469,-65.7,10,0,UNDEF,808,809,-0.1,89,46,93.5,354,33.4,495,39.9,-6.5,330,31.1,245,19.7,11.4,1061,0,1242,0,396,380,665,862,-26
CG17031292200,17031292200,0.452875,10.6,10.6,4.9,2863,3072,-6.8,2688,2921,-8,0,48,-100,125,0,UNDEF,37,103,-64.1,928,32.4,1158,37.7,-5.3,715,25,432,14.1,10.9,2863,0,3072,0,856,819,2007,2253,-14.8
CG17031292400,17031292400,0.497125,-6.7,19.2,14.1,2197,1915,14.7,2044,1842,11,0,0,UNDEF,44,23,91.3,103,73,41.1,845,38.5,761,39.7,-1.2,528,24,419,21.9,2.1,2192,0.2,1915,0,578,517,1614,1398,3.3
CG17031292500,17031292500,0.498375,4.5,4.7,6.7,4000,3938,1.6,3744,3879,-3.5,0,0,UNDEF,209,0,UNDEF,63,28,125,1486,37.2,1632,41.4,-4.2,1125,28.1,853,21.7,6.4,4000,0,3938,0,1403,1703,2597,2235,41
CG17031300500,17031300500,0.4505,-7.6,12.2,5.6,2951,2955,-0.1,199,99,101,21,0,UNDEF,2642,2856,-7.5,78,0,UNDEF,1336,45.3,1251,42.3,3,418,14.2,325,11,3.2,2951,0,2955,0,873,459,2078,2496,-56.2
CG17031300600,17031300600,0.4505,3.7,-0.7,3.2,3331,3431,-2.9,451,645,-30.1,0,0,UNDEF,2682,2605,3,199,174,14.4,1237,37.1,1422,41.4,-4.3,781,23.4,421,12.3,11.1,3227,3.1,3264,4.9,1517,1122,1710,2142,-41
CG17031300700,17031300700,0.61075,-5,3.4,14.3,4626,4028,14.8,0,135,-100,0,0,UNDEF,4576,3782,21,50,111,-55,1876,40.6,1851,46,-5.4,599,12.9,359,8.9,4,4626,0,4028,0,1112,1359,3514,2669,60.9
CG17031300800,17031300800,0.499625,2.6,-7.6,-6,3921,3836,2.2,19,0,UNDEF,0,0,UNDEF,3853,3645,5.7,49,179,-72.6,1853,47.3,2024,52.8,-5.5,340,8.7,450,11.7,-3,3921,0,3836,0,1249,1258,2672,2578,4.4
CG17031300900,17031300900,0.539,-4.4,25.4,-1.4,4060,3598,12.8,87,21,314.3,0,0,UNDEF,3878,3369,15.1,77,187,-58.8,2034,50.1,1539,42.8,7.3,436,10.7,331,9.2,1.5,4046,0.3,3598,0,966,1094,3080,2504,39.3
CG17031301100,17031301100,0.43125,3.2,-12.6,18,2668,2404,11,112,83,34.9,0,0,UNDEF,2494,2304,8.2,56,17,229.4,937,35.1,981,40.8,-5.7,379,14.2,240,10,4.2,2668,0,2404,0,718,606,1950,1798,-8.5
CG17031301200,17031301200,0.36025,7.3,-16.8,0.9,3178,4223,-24.7,319,354,-9.9,53,0,UNDEF,2575,3744,-31.2,116,207,-44,1244,39.1,2014,47.7,-8.6,586,18.4,475,11.2,7.2,3158,0.6,4223,0,841,1450,2317,2773,44.1
CG17031301600,17031301600,0.42625,0.3,5.8,11.7,5039,4064,24,163,0,UNDEF,0,0,UNDEF,4756,3970,19.8,128,94,36.2,1988,39.5,1786,43.9,-4.4,735,14.6,406,10,4.6,5026,0.3,4064,0,2288,1517,2738,2547,-28.7
CG17031301701,17031301701,0.3605,6.2,4.3,13.5,4223,4243,-0.5,2,0,UNDEF,0,0,UNDEF,4129,4193,-1.5,92,50,84,1931,45.7,1925,45.4,0.3,490,11.6,459,10.8,0.8,4218,0.1,4243,0,1439,2299,2779,1944,128.4
CG17031301702,17031301702,0.375125,4.2,-18.4,7.6,4393,3744,17.3,0,0,UNDEF,0,0,UNDEF,4322,3690,17.1,71,54,31.5,2165,49.3,1970,52.6,-3.3,483,11,425,11.4,-0.4,4393,0,3744,0,2312,1307,2081,2437,-51.7
CG17031301801,17031301801,0.46875,-4.8,33.7,0.1,3918,4066,-3.6,1,49,-98,0,0,UNDEF,3766,3955,-4.8,142,42,238.1,2031,51.8,1541,37.9,13.9,395,10.1,417,10.3,-0.2,3913,0.1,4066,0,1559,1872,2354,2194,28.8
CG17031301802,17031301802,0.426,-6.8,7.4,10.9,3208,2689,19.3,20,0,UNDEF,0,0,UNDEF,3141,2579,21.8,43,110,-60.9,1546,48.2,1215,45.2,3,354,11,289,10.7,0.3,3203,0.2,2689,0,1171,940,2032,1749,-6.7
CG17031301803,17031301803,0.639125,-14.3,1.7,-4.1,5058,4459,13.4,127,0,UNDEF,57,0,UNDEF,4751,4361,8.9,113,96,17.7,2380,47.1,2024,45.4,1.7,466,9.2,509,11.4,-2.2,5058,0,4459,0,1867,2522,3191,1937,122.5
CG17031310200,17031310200,0.5465,1.1,-1.8,1.3,1495,1439,3.9,74,44,68.2,152,0,UNDEF,734,915,-19.8,522,496,5.2,343,22.9,383,26.6,-3.7,805,53.8,399,27.7,26.1,1490,0.3,1439,0,544,658,946,781,46.5
CG17031310300,17031310300,0.319,12.8,-15.6,17.8,1794,1442,24.4,57,56,1.8,208,0,UNDEF,1127,925,21.8,407,461,-11.7,578,32.2,439,30.4,1.8,777,43.3,662,45.9,-2.6,1794,0,1442,0,520,398,1274,1044,-6.6
CG17031310400,17031310400,0.6625,-12.4,97,6.9,1260,1340,-6,96,159,-39.6,26,0,UNDEF,817,1018,-19.7,293,163,79.8,327,26,588,43.9,-17.9,502,39.8,311,23.2,16.6,1260,0,1340,0,592,570,668,770,-16.5
CG17031310500,17031310500,0.809875,-10.7,61.7,-34.4,1495,1573,-5,0,0,UNDEF,0,0,UNDEF,1277,1505,-15.1,206,68,202.9,567,37.9,736,46.8,-8.9,353,23.6,110,7,16.6,1495,0,1573,0,411,566,1084,1007,48.2
CG17031310600,17031310600,0.46725,-10.7,34,10.5,4623,4818,-4,461,319,44.5,16,94,-83,3218,3480,-7.5,839,772,8.7,1854,40.1,2008,41.7,-1.6,1663,36,1047,21.7,14.3,4561,1.3,4818,0,1541,1163,3020,3655,-37.6
CG17031310700,17031310700,0.423,2.7,55.3,-24.2,1314,1864,-29.5,28,60,-53.3,58,36,61.1,949,1371,-30.8,269,423,-36.4,581,44.2,694,37.2,7,341,26,729,39.1,-13.1,1290,1.8,1550,16.8,327,265,963,1285,-39.3
CG17031310800,17031310800,0.742875,-12.7,26.7,-8.9,4020,4631,-13.2,25,24,4.2,53,0,UNDEF,3467,4130,-16.1,416,477,-12.8,1480,36.8,2340,50.5,-13.7,1205,30,654,14.1,15.9,4015,0.1,4631,0,760,1639,3255,2992,134.6
CG17031310900,17031310900,0.5985,0.1,9.6,-6.8,5209,5235,-0.5,120,108,11.1,19,30,-36.7,4594,4699,-2.2,464,343,35.3,1762,33.8,2004,38.3,-4.5,1360,26.1,837,16,10.1,5209,0,5235,0,1510,1400,3699,3835,-10.6
CG17031320100,17031320100,0.550875,0.4,14.6,2.5,12485,7543,65.5,682,308,121.4,2084,1346,54.8,859,362,137.3,8705,5389,61.5,704,5.6,341,4.5,1.1,10154,81.3,3805,50.4,30.9,12250,1.9,7543,0,5021,3623,7229,3920,33.1
CG17031320400,17031320400,0.515625,-6.4,21.3,11.8,3057,558,447.8,399,9,4333.3,513,109,370.6,192,48,300,1858,369,403.5,26,0.9,53,9.5,-8.6,881,28.8,237,42.5,-13.7,993,67.5,325,41.8,619,214,374,111,16.5
CG17031320600,17031320600,0.7,2.2,-8.4,-5.3,4611,3333,38.3,817,521,56.8,860,666,29.1,205,37,454.1,2574,1989,29.4,163,3.5,240,7.2,-3.7,3832,83.1,1577,47.3,35.8,4611,0,3333,0,1616,1588,2995,1745,68.7
CG17031330100,17031330100,0.749875,-1.5,24,-0.9,18400,12959,42,4185,4264,-1.9,4249,1549,174.3,1124,770,46,8535,6034,41.4,990,5.4,1539,11.9,-6.5,13781,74.9,6323,48.8,26.1,18224,1,12796,1.3,10030,6742,8194,6054,-9
CG17031330200,17031330200,0.574375,-0.5,22.2,7.7,3584,3699,-3.1,1041,1255,-17.1,864,725,19.2,86,118,-27.1,1427,1588,-10.1,608,17,336,9.1,7.9,2316,64.6,1461,39.5,25.1,3584,0,3699,0,2177,2902,1407,797,135.3
CG17031340300,17031340300,0.36725,7.6,-3.6,3.6,1812,2028,-10.7,30,0,UNDEF,1390,1456,-4.5,56,190,-70.5,322,291,10.7,879,48.5,958,47.2,1.3,424,23.4,331,16.3,7.1,1812,0,2028,0,848,1035,964,993,18.5
CG17031340400,17031340400,0.293,2.6,-22.8,18.9,2124,1887,12.6,34,0,UNDEF,1808,1248,44.9,67,153,-56.2,171,329,-48,1013,47.7,825,43.7,4,479,22.6,423,22.4,0.2,2119,0.2,1887,0,961,981,1158,906,30.5
CG17031340500,17031340500,0.57475,1.9,7.7,-0.4,1484,1625,-8.7,74,258,-71.3,508,388,30.9,146,229,-36.2,750,717,4.6,631,42.5,905,55.7,-13.2,630,42.5,413,25.4,17.1,1484,0,1625,0,433,452,1051,1173,-6.5
CG17031340600,17031340600,0.46075,11.5,24.6,-3.2,872,1005,-13.2,844,1005,-16,0,0,UNDEF,3,0,UNDEF,0,0,UNDEF,347,39.8,440,43.8,-4,194,22.2,299,29.8,-7.6,872,0,1005,0,20,0,852,1005,0
CG17031350100,17031350100,0.43775,3.5,-9.9,16.8,2077,2228,-6.8,1093,1380,-20.8,691,489,41.3,69,62,11.3,123,224,-45.1,166,8,315,14.1,-6.1,1504,72.4,1207,54.2,18.2,2077,0,2228,0,16,0,2061,2228,0
CG17031350400,17031350400,0.663,-19,29.7,5.1,1704,527,223.3,1644,527,212,0,0,UNDEF,5,0,UNDEF,22,0,UNDEF,476,27.9,203,38.5,-10.6,353,20.7,177,33.6,-12.9,1704,0,527,0,0,0,1704,527,0
CG17031351000,17031351000,0.644,-6.6,13,8.1,3796,3400,11.6,2717,2683,1.3,788,552,42.8,15,24,-37.5,221,123,79.7,573,15.1,574,16.9,-1.8,2524,66.5,1423,41.9,24.6,3796,0,3400,0,435,372,3361,3028,-5.1
CG17031351100,17031351100,0.560375,-15.3,7.6,16.5,1992,2252,-11.5,1918,2252,-14.8,0,0,UNDEF,10,0,UNDEF,36,0,UNDEF,475,23.8,862,38.3,-14.5,508,25.5,335,14.9,10.6,1992,0,2252,0,99,0,1893,2252,0
CG17031351400,17031351400,0.2775,20.8,-9.5,16,1725,1385,24.5,1483,1252,18.5,0,0,UNDEF,35,105,-66.7,183,28,553.6,688,39.9,525,37.9,2,436,25.3,387,27.9,-2.6,1652,4.2,1385,0,101,132,1551,1253,61.8
CG17031351500,17031351500,0.55675,-18.9,104.6,8.7,446,73,511,232,56,314.3,107,17,529.4,19,0,UNDEF,88,0,UNDEF,72,16.1,8,11,5.1,180,40.4,172,235.6,-195.2,446,0,73,0,92,0,354,73,0
CG17031360200,17031360200,0.765375,-15.3,0.6,-8.6,1606,951,68.9,1548,886,74.7,54,0,UNDEF,0,29,-100,4,0,UNDEF,352,21.9,255,26.8,-4.9,448,27.9,237,24.9,3,1606,0,951,0,60,142,1546,809,352.3
CG17031380100,17031380100,0.3705,3.6,-7.7,5.8,1891,2220,-14.8,1810,2139,-15.4,0,0,UNDEF,0,0,UNDEF,42,73,-42.5,530,28,702,31.6,-3.6,794,42,736,33.2,8.8,1886,0.3,2220,0,367,644,1519,1576,69.1
CG17031380200,17031380200,0.674875,-1.8,15.4,4.3,1770,1660,6.6,1626,1621,0.3,19,0,UNDEF,62,8,675,19,12,58.3,661,37.3,730,44,-6.7,783,44.2,601,36.2,8,1770,0,1660,0,190,343,1580,1317,116.6
CG17031380500,17031380500,0.50225,24.7,27.6,-14.3,751,302,148.7,748,302,147.7,2,0,UNDEF,1,0,UNDEF,0,0,UNDEF,205,27.3,10,3.3,24,180,24,195,64.6,-40.6,751,0,302,0,0,0,751,302,0
CG17031380700,17031380700,0.39225,-16.1,17.5,-15.8,1085,1266,-14.3,897,1107,-19,8,10,-20,20,23,-13,129,117,10.3,516,47.6,518,40.9,6.7,392,36.1,432,34.1,2,860,20.7,1074,15.2,136,110,724,964,-39.3
CG17031381200,17031381200,0.665875,-7.8,16.5,4.2,1839,2049,-10.2,1686,1875,-10.1,0,22,-100,34,7,385.7,37,101,-63.4,285,15.5,472,23,-7.5,1010,54.9,863,42.1,12.8,1839,0,2049,0,556,876,1283,1173,72.3
CG17031381400,17031381400,0.677,-6.7,2.5,-12.1,1698,1730,-1.8,1698,1635,3.9,0,0,UNDEF,0,88,-100,0,39,-100,426,25.1,594,34.3,-9.2,557,32.8,438,25.3,7.5,1698,0,1730,0,514,596,1184,1134,21.1
CG17031381500,17031381500,0.299375,-19.4,-10.3,36.6,298,427,-30.2,260,427,-39.1,5,0,UNDEF,16,0,UNDEF,17,0,UNDEF,69,23.2,98,23,0.2,120,40.3,278,65.1,-24.8,298,0,427,0,30,19,268,408,-58.4
CG17031381700,17031381700,0.448625,0,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CG17031381800,17031381800,0.5865,-7.8,4.8,-3.9,1142,861,32.6,1075,788,36.4,5,0,UNDEF,6,16,-62.5,37,28,32.1,324,28.4,265,30.8,-2.4,474,41.5,364,42.3,-0.8,1111,2.7,861,0,166,202,945,659,74.5
CG17031381900,17031381900,0.44575,5.5,26.8,1.4,1242,1443,-13.9,1141,1397,-18.3,0,0,UNDEF,28,0,UNDEF,73,17,329.4,284,22.9,280,19.4,3.5,603,48.6,472,32.7,15.9,1242,0,1443,0,439,429,803,1014,-22.6
CG17031390100,17031390100,0.687125,2.9,42.9,-6.9,1466,1401,4.6,1279,1329,-3.8,54,8,575,60,8,650,33,41,-19.5,284,19.4,416,29.7,-10.3,728,49.7,543,38.8,10.9,1466,0,1401,0,636,595,830,806,-3.7
CG17031390200,17031390200,0.451375,1.6,3.2,3.1,1647,1848,-10.9,1322,1550,-14.7,78,221,-64.7,21,0,UNDEF,204,63,223.8,190,11.5,245,13.3,-1.8,988,60,882,47.7,12.3,1642,0.3,1848,0,981,1384,661,464,101
CG17031390300,17031390300,0.429625,5.6,-23.9,1.1,2668,2572,3.7,2337,2460,-5,16,0,UNDEF,17,5,240,226,53,326.4,671,25.1,827,32.2,-7.1,1110,41.6,782,30.4,11.2,2522,5.5,2481,3.5,346,432,2176,2049,32.6
CG17031390400,17031390400,0.48625,5.3,72.5,-11.2,2359,3157,-25.3,2048,2946,-30.5,20,8,150,44,31,41.9,196,132,48.5,673,28.5,739,23.4,5.1,1216,51.5,1107,35.1,16.4,2297,2.6,3157,0,467,1033,1830,2124,90.6
CG17031390500,17031390500,0.627625,-9.7,-13.2,1.4,1551,1413,9.8,1003,909,10.3,120,91,31.9,87,78,11.5,372,333,11.7,192,12.4,252,17.8,-5.4,872,56.2,502,35.5,20.7,1546,0.3,1413,0,645,762,901,651,63.5
CG17031390600,17031390600,0.4595,-1.1,7.4,2,1867,2023,-7.7,775,968,-19.9,41,140,-70.7,86,50,72,859,718,19.6,103,5.5,54,2.7,2.8,1237,66.3,664,32.8,33.5,1862,0.3,2023,0,1037,1201,825,822,16.2
CG17031390700,17031390700,0.557625,3.1,3.1,-3,5312,5388,-1.4,2914,2709,7.6,1080,850,27.1,188,225,-16.4,1013,1495,-32.2,370,7,473,8.8,-1.8,3721,70,2470,45.8,24.2,5312,0,5388,0,1758,1719,3554,3669,-5.3
CG17031400300,17031400300,0.258625,9.8,-18.1,20.9,1250,1476,-15.3,1117,1476,-24.3,8,0,UNDEF,92,0,UNDEF,29,0,UNDEF,251,20.1,392,26.6,-6.5,468,37.4,600,40.7,-3.3,1215,2.8,1476,0,213,484,1002,992,129.5
CG17031400400,17031400400,0.647125,-0.3,12.9,-8.3,1913,1559,22.7,1903,1526,24.7,0,9,-100,13,30,-56.7,0,7,-100,427,22.3,472,30.3,-8,686,35.9,375,24.1,11.8,1889,1.3,1559,0,272,280,1617,1279,30.1
CG17031400500,17031400500,0.421625,14.1,-1.9,12.4,2242,2012,11.4,2210,1977,11.8,0,0,UNDEF,0,0,UNDEF,5,9,-44.4,593,26.4,813,40.4,-14,536,23.9,402,20,3.9,2242,0,2012,0,390,98,1852,1914,-75.7
CG17031400800,17031400800,0.6355,-3.7,23,-8.1,2990,1974,51.5,2773,1965,41.1,0,0,UNDEF,0,0,UNDEF,8,0,UNDEF,943,31.5,577,29.2,2.3,750,25.1,432,21.9,3.2,2990,0,1974,0,178,107,2812,1867,-9.5
CG17031410100,17031410100,0.56,2.7,-4,-4.3,1760,1697,3.7,820,858,-4.4,122,84,45.2,303,321,-5.6,461,425,8.5,157,8.9,310,18.3,-9.4,1162,66,747,44,22,1745,0.9,1697,0,413,479,1332,1218,26.8
CG17031410200,17031410200,0.48125,-0.7,-40.1,8.1,1364,1078,26.5,279,375,-25.6,374,174,114.9,121,12,908.3,533,449,18.7,62,4.5,85,7.9,-3.4,721,52.9,462,42.9,10,1088,20.2,1078,0,161,351,927,727,178
CG17031410500,17031410500,0.6855,-3,18.2,0.1,2548,2519,1.2,1089,1588,-31.4,296,174,70.1,144,160,-10,911,580,57.1,237,9.3,326,12.9,-3.6,1275,50,880,34.9,15.1,2443,4.1,2380,5.5,826,959,1617,1421,32.1
CG17031410600,17031410600,0.433125,-1,-44.4,15.7,2488,2129,16.9,694,828,-16.2,282,228,23.7,176,90,95.6,1265,948,33.4,236,9.5,256,12,-2.5,1210,48.6,752,35.3,13.3,2386,4.1,2106,1.1,739,802,1647,1304,37.1
CG17031410700,17031410700,0.50425,-1.4,18.9,-0.2,1994,2013,-0.9,416,426,-2.3,201,313,-35.8,113,254,-55.5,1204,980,22.9,151,7.6,127,6.3,1.3,1171,58.7,736,36.6,22.1,1969,1.3,2003,0.5,749,748,1220,1255,-2.9
CG17031410800,17031410800,0.51875,5.1,0.9,3.9,3130,2593,20.7,1158,1103,5,328,365,-10.1,369,139,165.5,1151,941,22.3,291,9.3,352,13.6,-4.3,1856,59.3,1016,39.2,20.1,3095,1.1,2593,0,1055,1113,2040,1480,45.4
CG17031410900,17031410900,0.495125,-3.4,-2.4,11,3064,3794,-19.2,942,1492,-36.9,239,240,-0.4,360,371,-3,1426,1749,-18.5,287,9.4,206,5.4,4,1984,64.8,1342,35.4,29.4,2954,3.6,3397,10.5,1365,1899,1589,1498,47.6
CG17031411000,17031411000,0.650875,2,89,-12.8,3070,3726,-17.6,1080,991,9,254,282,-9.9,226,177,27.7,1417,2235,-36.6,109,3.6,351,9.4,-5.8,2383,77.6,1298,34.8,42.8,2751,10.4,3158,15.2,1400,1283,1351,1875,-34
CG17031411100,17031411100,0.530375,-1.7,-5.8,-5.1,2272,2086,8.9,116,35,231.4,435,436,-0.2,87,41,112.2,1588,1566,1.4,18,0.8,14,0.7,0.1,1340,59,622,29.8,29.2,1879,17.3,2086,0,1061,1234,818,852,11.7
CG17031411200,17031411200,0.4465,0.2,-2.2,11.1,1577,1582,-0.3,238,227,4.8,222,211,5.2,51,52,-1.9,994,1072,-7.3,67,4.2,133,8.4,-4.2,1024,64.9,460,29.1,35.8,1546,2,1582,0,845,939,701,643,21.1
CG17031420100,17031420100,0.630375,-3.2,7.3,3.4,1369,1255,9.1,1291,1174,10,21,10,110,17,20,-15,32,51,-37.3,312,22.8,324,25.8,-3,637,46.5,527,42,4.5,1369,0,1255,0,66,113,1303,1142,95.3
CG17031420200,17031420200,0.550625,-4.5,-2.9,7,1706,1855,-8,1187,1051,12.9,78,62,25.8,37,70,-47.1,353,582,-39.3,206,12.1,336,18.1,-6,613,35.9,540,29.1,6.8,1495,12.4,1367,26.3,292,357,1203,1010,45.6
CG17031420300,17031420300,0.359125,11.7,-36.1,16.6,2518,1722,46.2,1047,1233,-15.1,426,79,439.2,136,69,97.1,895,373,139.9,182,7.2,301,17.5,-10.3,655,26,565,32.8,-6.8,1384,45,1439,16.4,295,493,1089,946,92.4
CG17031420400,17031420400,0.44375,1.4,0.6,19.4,1095,1477,-25.9,640,1104,-42,84,161,-47.8,79,41,92.7,246,141,74.5,215,19.6,289,19.6,0,561,51.2,503,34.1,17.1,1095,0,1477,0,124,256,971,1221,64.2
CG17031420500,17031420500,0.494375,-9.6,0,6.5,1968,2254,-12.7,1781,2244,-20.6,39,0,UNDEF,114,16,612.5,0,0,UNDEF,486,24.7,752,33.4,-8.7,661,33.6,599,26.6,7,1968,0,2254,0,343,277,1625,1977,-33.6
CG17031420600,17031420600,0.40925,14.5,-30.8,27.9,2115,1667,26.9,1934,1617,19.6,5,0,UNDEF,70,15,366.7,115,18,538.9,563,26.6,603,36.2,-9.6,637,30.1,583,35,-4.9,2115,0,1667,0,268,233,1847,1434,12
CG17031420700,17031420700,0.35925,10.5,-18.1,18.4,3331,3072,8.4,3149,3041,3.6,0,0,UNDEF,44,31,41.9,87,0,UNDEF,984,29.5,1165,37.9,-8.4,927,27.8,910,29.6,-1.8,3326,0.2,3072,0,540,692,2786,2380,50
CG17031420800,17031420800,0.562,-1.9,26.3,-7.4,2085,2228,-6.4,1928,2119,-9,0,0,UNDEF,105,69,52.2,39,51,-23.5,408,19.6,579,26,-6.4,766,36.7,642,28.8,7.9,2080,0.2,2228,0,436,410,1644,1818,-15
CG17031421200,17031421200,0.618125,-24.3,13.1,-2,1489,1486,0.2,1458,1486,-1.9,15,0,UNDEF,31,0,UNDEF,0,0,UNDEF,427,28.7,649,43.7,-15,545,36.6,521,35.1,1.5,1489,0,1486,0,679,510,810,976,-37.7
CG17031430101,17031430101,0.4645,6.5,25.8,-5.8,3546,4197,-15.5,3406,4101,-16.9,0,0,UNDEF,75,0,UNDEF,55,78,-29.5,802,22.6,874,20.8,1.8,1611,45.4,1520,36.2,9.2,3546,0,4197,0,605,575,2941,3622,-22.8
CG17031430102,17031430102,0.438875,-1.2,23.5,3.6,2990,3109,-3.8,2811,3062,-8.2,0,0,UNDEF,98,0,UNDEF,58,24,141.7,744,24.9,833,26.8,-1.9,1592,53.2,1359,43.7,9.5,2980,0.3,3109,0,554,399,2426,2710,-35.5
CG17031430200,17031430200,0.374,8.1,1.9,-1.7,4846,4766,1.7,4554,4363,4.4,66,0,UNDEF,0,151,-100,147,124,18.5,1128,23.3,1141,23.9,-0.6,1927,39.8,1837,38.5,1.3,4827,0.4,4766,0,993,1097,3834,3669,15.4
CG17031430300,17031430300,0.341875,10.1,-27.2,21.1,2101,2205,-4.7,2077,2188,-5.1,7,0,UNDEF,0,28,-100,8,0,UNDEF,525,25,718,32.6,-7.6,624,29.7,611,27.7,2,2099,0.1,2205,0,283,522,1816,1683,99
CG17031430400,17031430400,0.47325,-3.9,2.4,41.9,2935,2907,1,2806,2856,-1.8,7,0,UNDEF,26,0,UNDEF,69,32,115.6,549,18.7,730,25.1,-6.4,974,33.2,835,28.7,4.5,2830,3.6,2907,0,837,1421,1993,1486,127.7
CG17031430500,17031430500,0.397375,1.7,25.4,1.3,3316,3557,-6.8,3187,3503,-9,6,0,UNDEF,125,0,UNDEF,40,0,UNDEF,947,28.6,1064,29.9,-1.3,1118,33.7,946,26.6,7.1,3311,0.2,3557,0,602,294,2709,3263,-59.5
CG17031430600,17031430600,0.547125,-7.1,21.7,2.9,1630,1522,7.1,1453,1470,-1.2,1,0,UNDEF,14,24,-41.7,76,28,171.4,293,18,356,23.4,-5.4,686,42.1,631,41.5,0.6,1619,0.7,1513,0.6,768,666,851,847,-12.9
CG17031430700,17031430700,0.482875,-5.5,24.1,4.7,2467,2376,3.8,2172,2288,-5.1,19,0,UNDEF,38,41,-7.3,176,31,467.7,681,27.6,361,15.2,12.4,1235,50.1,1095,46.1,4,2201,10.8,2345,1.3,216,530,1985,1815,168.4
CG17031430800,17031430800,0.530125,4.5,6.5,-6.3,1631,2150,-24.1,1517,2097,-27.7,0,0,UNDEF,5,10,-50,33,21,57.1,346,21.2,447,20.8,0.4,901,55.2,823,38.3,16.9,1631,0,2150,0,603,992,1028,1158,46
CG17031430900,17031430900,0.482,1.4,-2.9,16.2,1342,1428,-6,1307,1428,-8.5,5,0,UNDEF,0,0,UNDEF,19,0,UNDEF,219,16.3,365,25.6,-9.3,692,51.6,534,37.4,14.2,1342,0,1428,0,501,554,841,874,6.4
CG17031431200,17031431200,0.395375,-0.8,-6.5,6.3,3050,2817,8.3,2921,2700,8.2,0,0,UNDEF,68,40,70,25,33,-24.2,700,23,632,22.4,0.6,1414,46.4,1199,42.6,3.8,3045,0.2,2817,0,2122,2055,923,762,17.3
